methods,w,lambda_,avg_val_final_wealth,avg_val_sharpe,avg_val_max_drawdown,threshold,num_neighbors,rho
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,2.222000523681417,0.5428523813856657,-0.6579929565406343,,5.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,2.16997177823174,0.539896641841575,-0.6536683876322408,,5.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,2.0995843388192883,0.5269143523314159,-0.6904302873510474,,5.0,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.685270515909664,0.5190355244871674,-0.5115473664764263,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.6614994951867323,0.5042851394308427,-0.507218565272438,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.7,1.6449157111748192,0.4932691052181493,-0.5103546247990727,0.2,,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.5540137068279314,0.4859476707446082,-0.7667885537506672,,,0.6
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.5128708070591705,0.4764657162505488,-0.7612522432568649,,,0.6
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,1.6022096753153765,0.47314869678428517,-0.5050309416318612,0.15,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.6076302151343165,0.47193072960448196,-0.5184088088676345,0.2,,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.5005497962130456,0.47048480783162583,-0.7610392900560583,,,0.6
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,1.5925102371608337,0.46461681090736306,-0.5083719914521161,0.15,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.7,1.5916591387053545,0.4636093174240029,-0.5083944277305344,0.15,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.5869945170676703,0.4595996025516779,-0.508546710776433,0.15,,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,2.0758511701156097,0.44660628852075357,-0.7266323885611835,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,2.0197135040068126,0.4381092720336891,-0.7058897950064468,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.925689130768958,0.4149624601958887,-0.7166402228769406,,3.0,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.7,3.661544037075823,0.4048179072492335,-0.5794463450696897,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,3.732067734651384,0.40380951983159746,-0.5755912674291784,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,3.661575232336736,0.40227671246615015,-0.5789959030490609,0.2,,
"{'sample_selection': <function kernel_based_selection at 0x0000023635B34680>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",4,,3.652582509308192,0.38988526867009965,-0.5764891878027394,0.2,,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,1.2528143252065138,0.3645054297823562,-0.6959285605167433,,4.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.34138603949209,0.34417722295174735,-0.6959751426765187,,4.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",3,,1.611959402157002,0.33177850801328856,-0.7558275023641731,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,0.9794749530798132,0.3250233720985955,-0.7838754985767746,,,0.7
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.6438986777229647,0.3245756202281256,-0.7516689920072375,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.6388247862688021,0.32336878960196797,-0.7515874665062446,,,0.65
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.9,1.3206817841139162,0.3215389306523511,-0.6649369567644172,,4.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",3,0.8,1.3190495687148602,0.3175007652292818,-0.668289042338959,,4.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,0.9861484698900697,0.3161774560427565,-0.7747522384129437,,,0.7
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,0.9753387078920019,0.31552522018843837,-0.7386381477498517,,3.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,0.9785288414034129,0.3136114145470475,-0.7746191238661354,,,0.7
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,0.9765440891508902,0.2863522453123988,-0.7378010587283976,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,1.514838105452164,0.2726600050627101,-0.7138848254867755,,5.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,1.1237456707427138,0.2681441915415479,-0.6996846376818716,,4.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.8,0.9254102328272253,0.2667463269127013,-0.7482218296931927,,3.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",5,0.9,1.4522816648782852,0.25783041893839365,-0.7139208860609885,,5.0,
"{'sample_selection': <function nearest_neighbor_selection at 0x0000023635B34720>, 'portfolio_optimization': <function semi_log_optimal_portfolio at 0x0000023635B34900>}",5,,1.4149298204590366,0.24972063893712662,-0.7277574686751409,,5.0,
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.8,1.5455742005532478,0.2390467222484977,-0.7766013815765417,,,0.65
"{'sample_selection': <function correlation_based_selection at 0x0000023635B347C0>, 'portfolio_optimization': <function markowitz_portfolio at 0x0000023635B349A0>}",4,0.9,1.540946538973232,0.23252161049952993,-0.7773942302508605,,,0.65
