algorithm,gamma,alpha,final_wealth,exp_growth,sharpe
follow_the_leader,0.75,0.3,10.981682092824906,0.0007937160054375315,0.6989864073099777
follow_the_leader,0.7,0.3,10.931467819976413,0.0007921979416833419,0.6976695419218868
follow_the_leader,0.65,0.3,10.886960553702544,0.0007908465696074205,0.6964847277313323
follow_the_leader,0.6,0.3,10.847030525538353,0.000789629466129815,0.6954100210120269
follow_the_leader,0.55,0.3,10.810819423156584,0.0007885218387232276,0.6944270402795032
follow_the_leader,0.5,0.3,10.777669840265713,0.0007875045996344179,0.693520832805964
follow_the_leader,0.95,0.4,11.183191208499593,0.0007997389420469949,0.6929459410078495
follow_the_leader,0.45,0.3,10.74708056003131,0.0007865631473598021,0.692679567391415
follow_the_leader,0.4,0.3,10.718672877846416,0.0007856864356643281,0.6918941126395407
follow_the_leader,0.35,0.3,10.69216350272883,0.0007848662107392947,0.6911575767388276
