sample_selection,portfolio_optimization,w,final_wealth,exp_growth,sharpe,ss_threshold,ss_num_neighbors,ss_rho,po_lambda,runtime_seconds
kernel_based_selection,markowitz_portfolio,3,8.832551677649011,0.0007215779897601531,0.5184326199033408,0.2,3,0.7,0.5,698.1861455440521
kernel_based_selection,semi_log_optimal_portfolio,3,8.599448794095204,0.0007127188166596597,0.5133978519750148,0.2,3,0.7,0.5,981.4361445903778
kernel_based_selection,log_optimal_portfolio,3,7.933269896199389,0.0006860103662470888,0.49840789491153564,0.2,3,0.7,0.5,1438.1026945114136
nearest_neighbor_selection,markowitz_portfolio,4,2.225260075238522,0.00026494660368831186,0.4332266858415667,0.2,3,0.7,0.5,2891.5060551166534
kernel_based_selection,markowitz_portfolio,4,4.520988879692758,0.0004997451966242661,0.4056163981461855,0.2,3,0.7,0.5,935.6096498966217
nearest_neighbor_selection,semi_log_optimal_portfolio,4,1.601217199760546,0.00015593378266730195,0.40533703374536134,0.2,3,0.7,0.5,1142.2357635498047
kernel_based_selection,log_optimal_portfolio,4,4.275904427096409,0.00048128375021747554,0.3974062705029372,0.2,3,0.7,0.5,1512.0544316768646
nearest_neighbor_selection,log_optimal_portfolio,4,1.4205095857631407,0.00011626885407441096,0.3948419711604175,0.2,3,0.7,0.5,1211.117689371109
kernel_based_selection,semi_log_optimal_portfolio,4,4.1947625533290145,0.00047493764028215914,0.3941036364618397,0.2,3,0.7,0.5,1321.1423938274384
kernel_based_selection,markowitz_portfolio,10,1.0734496638071267,2.3477127341588658e-05,0.3493924004695512,0.2,3,0.7,0.5,1239.470172405243
nearest_neighbor_selection,semi_log_optimal_portfolio,5,0.5517102426332251,-0.00019699645355784214,0.3464578890352174,0.2,3,0.7,0.5,949.4842002391815
kernel_based_selection,semi_log_optimal_portfolio,10,0.9795265709878885,-6.851909530365466e-06,0.3435911983878439,0.2,3,0.7,0.5,1680.8952333927155
nearest_neighbor_selection,log_optimal_portfolio,5,0.5115559072090764,-0.00022202663102246367,0.34234494574126106,0.2,3,0.7,0.5,1220.8955886363983
kernel_based_selection,log_optimal_portfolio,10,0.9357553257354835,-2.199444875962786e-05,0.3399370475142135,0.2,3,0.7,0.5,1738.6432421207428
nearest_neighbor_selection,markowitz_portfolio,5,0.507930637800372,-0.00022438237180824928,0.3323157692167456,0.2,3,0.7,0.5,2874.4877808094025
correlation_based_selection,markowitz_portfolio,5,0.489233081235423,-0.00023680564899801148,0.30251175395946645,0.2,3,0.7,0.5,2481.7650895118713
correlation_based_selection,log_optimal_portfolio,5,0.47788453215861276,-0.00024457970857695273,0.3023820628377661,0.2,3,0.7,0.5,1947.106074810028
correlation_based_selection,semi_log_optimal_portfolio,5,0.48064941460856864,-0.00024266881165527462,0.3021934555673027,0.2,3,0.7,0.5,2132.7353711128235
nearest_neighbor_selection,log_optimal_portfolio,10,0.2855021721529716,-0.00041520557856026267,0.28701077528207175,0.2,3,0.7,0.5,1170.6358115673065
nearest_neighbor_selection,semi_log_optimal_portfolio,10,0.2714567449981622,-0.0004319153596912361,0.279681022640179,0.2,3,0.7,0.5,3014.851019382477
nearest_neighbor_selection,markowitz_portfolio,10,0.24700185534004565,-0.0004631862970798975,0.26541074756506716,0.2,3,0.7,0.5,1132.8911123275757
correlation_based_selection,markowitz_portfolio,10,0.18274425966919214,-0.0005629902589216542,0.24994707710543382,0.2,3,0.7,0.5,1484.5623066425323
correlation_based_selection,semi_log_optimal_portfolio,10,0.16364326287626824,-0.0005995582798156361,0.2490994221436049,0.2,3,0.7,0.5,2209.202572822571
correlation_based_selection,log_optimal_portfolio,10,0.12803326781801674,-0.0006808430420681262,0.23165198922594832,0.2,3,0.7,0.5,2245.5055181980133
correlation_based_selection,markowitz_portfolio,4,0.1473101320659473,-0.0006343872714933759,0.10913192515592467,0.2,3,0.7,0.5,2447.105644226074
correlation_based_selection,markowitz_portfolio,3,0.4585155931276077,-0.000258284524299932,0.10291366132387912,0.2,3,0.7,0.5,1590.1224656105042
correlation_based_selection,semi_log_optimal_portfolio,3,0.4452719173846046,-0.00026799275691574486,0.1024750121910141,0.2,3,0.7,0.5,2559.979840040207
correlation_based_selection,log_optimal_portfolio,3,0.4356671625335563,-0.000275215871429985,0.10043434417344503,0.2,3,0.7,0.5,2647.9678971767426
correlation_based_selection,semi_log_optimal_portfolio,4,0.1282247174823302,-0.0006803481116282033,0.09540528869949791,0.2,3,0.7,0.5,1765.4367232322693
correlation_based_selection,log_optimal_portfolio,4,0.12254111057389183,-0.000695365587537498,0.0913508640482756,0.2,3,0.7,0.5,1729.3864114284515
nearest_neighbor_selection,markowitz_portfolio,3,0.03688988901478209,-0.0010930168187886337,-0.02381122887897655,0.2,3,0.7,0.5,853.3965437412262
nearest_neighbor_selection,log_optimal_portfolio,3,0.026201366245332557,-0.0012063410807572916,-0.051520962779474606,0.2,3,0.7,0.5,1225.7358694076538
nearest_neighbor_selection,semi_log_optimal_portfolio,3,0.026351835775896046,-0.001204444298611153,-0.053678230912873784,0.2,3,0.7,0.5,3228.7266721725464
