algorithm,beta,delta,ridge_const,final_wealth,exp_growth,sharpe
follow_the_regularized_leader,0.05,0.9,0.005,124.35484744708121,0.0015975949492461588,0.9563187696293188
follow_the_regularized_leader,0.075,0.875,0.01,15.2275799650074,0.0009019901474228743,0.9530477333322922
follow_the_regularized_leader,0.1,0.925,0.0125,10.965545670203147,0.0007932289318834176,0.9518656387148086
follow_the_regularized_leader,0.09,0.925,0.01,12.142322200821976,0.0008269947175934548,0.9511152848900163
follow_the_regularized_leader,0.08,0.925,0.01,14.878258696424309,0.0008943030803138277,0.9504066120575664
follow_the_regularized_leader,0.1,0.875,0.01,11.068522152512186,0.0007963250207299977,0.9502540455762393
follow_the_regularized_leader,0.1,0.875,0.005,48.81728065281165,0.0012878716005015837,0.949920205887333
follow_the_regularized_leader,0.08,0.85,0.0075,78.40433413475213,0.0014448092772969105,0.9499195769945565
follow_the_regularized_leader,0.07,0.875,0.0125,12.688905712048353,0.0008415793460427237,0.9492945278313585
follow_the_regularized_leader,0.075,0.925,0.0125,12.552545859842098,0.000838000497635958,0.949284787302026
follow_the_regularized_leader,0.09,0.9,0.015,10.831352534701834,0.0007891503613776655,0.9491979902745727
follow_the_regularized_leader,0.09,0.9,0.01,11.680207423643648,0.0008141423438608791,0.948322338129961
follow_the_regularized_leader,0.07,0.85,0.0125,12.17927747692293,0.0008280013050919332,0.9471568907514769
follow_the_regularized_leader,0.09,0.85,0.0125,10.820192039707742,0.0007888088843482936,0.9462233299187196
follow_the_regularized_leader,0.075,0.95,0.0125,12.868340601395065,0.0008462305657153406,0.9459261990304175
follow_the_regularized_leader,0.075,0.9,0.0125,12.003062639018811,0.0008231738446979701,0.9449041059595702
follow_the_regularized_leader,0.1,0.9,0.01,10.972053434476587,0.0007934254531764643,0.9447694485617495
follow_the_regularized_leader,0.07,0.9,0.0125,12.952356688155284,0.0008483861395262892,0.9430836952931427
follow_the_regularized_leader,0.08,0.95,0.0125,11.853978582582533,0.0008190339703865161,0.9427092392085468
follow_the_regularized_leader,0.09,0.875,0.01,11.20423693684707,0.0008003617107311033,0.9416920221682603
follow_the_regularized_leader,0.1,0.95,0.01,11.096688350357473,0.000797166848953091,0.9415023810292844
follow_the_regularized_leader,0.1,0.925,0.01,10.951979886884244,0.0007928188974844873,0.9408854257643959
follow_the_regularized_leader,0.09,0.85,0.01,10.997164500382185,0.000794182665411312,0.9407678651830951
follow_the_regularized_leader,0.1,0.95,0.0125,10.66469615156371,0.0007840141971762029,0.9400881577275014
follow_the_regularized_leader,0.09,0.925,0.015,10.462626863223853,0.0007776778937592893,0.9350341048539637
follow_the_regularized_leader,0.09,0.875,0.0125,10.53734968874941,0.0007800351304449714,0.9348921063181038
follow_the_regularized_leader,0.06,0.9,0.0125,84.10824912892653,0.0014680704370036615,0.9336219783064433
follow_the_regularized_leader,0.05,0.9,0.015,81.88117663350677,0.0014591815604201833,0.9332571421573956
follow_the_regularized_leader,0.075,0.875,0.0125,11.28415105661599,0.0008027158595054743,0.932778823042137
follow_the_regularized_leader,0.08,0.925,0.0125,11.209844517873796,0.0008005274485058184,0.9320455938394626
follow_the_regularized_leader,0.075,0.85,0.0125,10.875016362312227,0.0007904829683849124,0.9293057738849347
follow_the_regularized_leader,0.08,0.9,0.0125,10.844988756594446,0.0007895671108121779,0.9289239279640392
follow_the_regularized_leader,0.07,0.925,0.0125,13.02238793141327,0.00085017225069038,0.9273150400546428
follow_the_regularized_leader,0.09,0.9,0.0125,10.370268480087152,0.0007747409446777743,0.9272872553452706
follow_the_regularized_leader,0.06,0.85,0.015,11.68442641898875,0.0008142619674845892,0.9268246828515607
follow_the_regularized_leader,0.07,0.95,0.015,11.334581794249404,0.0008041929076506108,0.9264952003675879
follow_the_regularized_leader,0.08,0.875,0.0125,10.587404365653372,0.0007816048450405317,0.9262028481984639
follow_the_regularized_leader,0.075,0.95,0.01,86.33566698451293,0.001476728321753809,0.9259270502841727
follow_the_regularized_leader,0.08,0.85,0.015,10.220568510889839,0.000769924548034797,0.9255982831050812
follow_the_regularized_leader,0.09,0.95,0.015,10.196380217675193,0.0007691397074147457,0.924594104737445
follow_the_regularized_leader,0.09,0.95,0.0075,72.98990499611402,0.0014211067054856895,0.9242638339151301
